Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
-----------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.3 (lin64) Build 2405991 Thu Dec  6 23:36:41 MST 2018
| Date         : Sun Jun 23 19:36:20 2019
| Host         : T3 running 64-bit Ubuntu 18.04.2 LTS
| Command      : report_utilization -hierarchical_percentages -hierarchical -file dt.txt
| Design       : main
| Device       : xcvu9pflga2104-3
| Design State : Routed
-----------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+------------------------------------------+-----------------------------------+-----------------+-----------------+--------------+--------------+-----------------+--------------+---------------+--------------+--------------+
|                 Instance                 |               Module              |    Total LUTs   |    Logic LUTs   |    LUTRAMs   |     SRLs     |       FFs       |    RAMB36    |     RAMB18    |     URAM     | DSP48 Blocks |
+------------------------------------------+-----------------------------------+-----------------+-----------------+--------------+--------------+-----------------+--------------+---------------+--------------+--------------+
| main                                     |                             (top) | 3044(0,262477%) | 3044(0,262477%) | 0(0,005000%) | 0(0,005000%) | 2500(0,110731%) | 0(0,005000%) | 10(0,236481%) | 0(0,005000%) | 0(0,005000%) |
|   (main)                                 |                             (top) |    0(0,005000%) |    0(0,005000%) | 0(0,005000%) | 0(0,005000%) |    0(0,005000%) | 0(0,005000%) |  0(0,005000%) | 0(0,005000%) | 0(0,005000%) |
|   ARRAY_OF_TCAM_INST                     |                     array_of_tcam | 1931(0,168334%) | 1931(0,168334%) | 0(0,005000%) | 0(0,005000%) |  500(0,026146%) | 0(0,005000%) |  0(0,005000%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_TCAM_MEMORIES[0].TCAM_INST       |                              tcam |  198(0,021748%) |  198(0,021748%) | 0(0,005000%) | 0(0,005000%) |   50(0,015000%) | 0(0,005000%) |  0(0,005000%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_TCAM_MEMORIES[1].TCAM_INST       |                           tcam__1 |  183(0,020479%) |  183(0,020479%) | 0(0,005000%) | 0(0,005000%) |   50(0,015000%) | 0(0,005000%) |  0(0,005000%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_TCAM_MEMORIES[2].TCAM_INST       |                           tcam__2 |  189(0,020987%) |  189(0,020987%) | 0(0,005000%) | 0(0,005000%) |   50(0,015000%) | 0(0,005000%) |  0(0,005000%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_TCAM_MEMORIES[3].TCAM_INST       |                           tcam__3 |  191(0,021156%) |  191(0,021156%) | 0(0,005000%) | 0(0,005000%) |   50(0,015000%) | 0(0,005000%) |  0(0,005000%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_TCAM_MEMORIES[4].TCAM_INST       |                           tcam__4 |  197(0,021663%) |  197(0,021663%) | 0(0,005000%) | 0(0,005000%) |   50(0,015000%) | 0(0,005000%) |  0(0,005000%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_TCAM_MEMORIES[5].TCAM_INST       |                           tcam__5 |  195(0,021494%) |  195(0,021494%) | 0(0,005000%) | 0(0,005000%) |   50(0,015000%) | 0(0,005000%) |  0(0,005000%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_TCAM_MEMORIES[6].TCAM_INST       |                           tcam__6 |  192(0,021240%) |  192(0,021240%) | 0(0,005000%) | 0(0,005000%) |   50(0,015000%) | 0(0,005000%) |  0(0,005000%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_TCAM_MEMORIES[7].TCAM_INST       |                           tcam__7 |  196(0,021579%) |  196(0,021579%) | 0(0,005000%) | 0(0,005000%) |   50(0,015000%) | 0(0,005000%) |  0(0,005000%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_TCAM_MEMORIES[8].TCAM_INST       |                           tcam__8 |  196(0,021579%) |  196(0,021579%) | 0(0,005000%) | 0(0,005000%) |   50(0,015000%) | 0(0,005000%) |  0(0,005000%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_TCAM_MEMORIES[9].TCAM_INST       |                           tcam__9 |  194(0,021410%) |  194(0,021410%) | 0(0,005000%) | 0(0,005000%) |   50(0,015000%) | 0(0,005000%) |  0(0,005000%) | 0(0,005000%) | 0(0,005000%) |
|   ENCODER_INST                           |                           encoder | 1113(0,099143%) | 1113(0,099143%) | 0(0,005000%) | 0(0,005000%) | 2000(0,089585%) | 0(0,005000%) | 10(0,236481%) | 0(0,005000%) | 0(0,005000%) |
|     (ENCODER_INST)                       |                           encoder | 1113(0,099143%) | 1113(0,099143%) | 0(0,005000%) | 0(0,005000%) | 2000(0,089585%) | 0(0,005000%) |  0(0,005000%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_PMAP_MEMORIES[0].DECODER_OUT_MEM |                  xpm_memory_spram |    0(0,005000%) |    0(0,005000%) | 0(0,005000%) | 0(0,005000%) |    0(0,005000%) | 0(0,005000%) |  1(0,028148%) | 0(0,005000%) | 0(0,005000%) |
|       xpm_memory_base_inst               |                   xpm_memory_base |    0(0,005000%) |    0(0,005000%) | 0(0,005000%) | 0(0,005000%) |    0(0,005000%) | 0(0,005000%) |  1(0,028148%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_PMAP_MEMORIES[1].DECODER_OUT_MEM |  xpm_memory_spram__parameterized1 |    0(0,005000%) |    0(0,005000%) | 0(0,005000%) | 0(0,005000%) |    0(0,005000%) | 0(0,005000%) |  1(0,028148%) | 0(0,005000%) | 0(0,005000%) |
