Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
---------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.3 (lin64) Build 2405991 Thu Dec  6 23:36:41 MST 2018
| Date         : Wed Jun 26 06:44:17 2019
| Host         : T3 running 64-bit Ubuntu 18.04.2 LTS
| Command      : report_utilization -hierarchical_percentages -hierarchical -file /home/klara/magisterka/seriaPomiarow/10/750/750__hierarchical_percentage.txt
| Design       : main
| Device       : xcvu9pflga2104-3
| Design State : Routed
---------------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+------------------------------------------+-----------------------------------+-----------------+-----------------+--------------+--------------+-----------------+--------------+---------------+--------------+--------------+
|                 Instance                 |               Module              |    Total LUTs   |    Logic LUTs   |    LUTRAMs   |     SRLs     |       FFs       |    RAMB36    |     RAMB18    |     URAM     | DSP48 Blocks |
+------------------------------------------+-----------------------------------+-----------------+-----------------+--------------+--------------+-----------------+--------------+---------------+--------------+--------------+
|     GEN_TCAM_MEMORIES[8].TCAM_INST       |                           tcam__9 |   70(0,015000%) |   70(0,015000%) | 0(0,005000%) | 0(0,005000%) |   10(0,015000%) | 0(0,005000%) |  0(0,005000%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_TCAM_MEMORIES[9].TCAM_INST       |                              tcam | 5250(0,449072%) | 5250(0,449072%) | 0(0,005000%) | 0(0,005000%) |  750(0,036719%) | 0(0,005000%) |  0(0,005000%) | 0(0,005000%) | 0(0,005000%) |
|   ENCODER_INST                           |                           encoder | 2025(0,176285%) | 2025(0,176285%) | 0(0,005000%) | 0(0,005000%) | 3478(0,152094%) | 0(0,005000%) | 10(0,236481%) | 0(0,005000%) | 0(0,005000%) |
|     (ENCODER_INST)                       |                           encoder | 2025(0,176285%) | 2025(0,176285%) | 0(0,005000%) | 0(0,005000%) | 3478(0,152094%) | 0(0,005000%) |  0(0,005000%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_PMAP_MEMORIES[0].DECODER_OUT_MEM |                  xpm_memory_spram |    0(0,005000%) |    0(0,005000%) | 0(0,005000%) | 0(0,005000%) |    0(0,005000%) | 0(0,005000%) |  1(0,028148%) | 0(0,005000%) | 0(0,005000%) |
|       xpm_memory_base_inst               |                   xpm_memory_base |    0(0,005000%) |    0(0,005000%) | 0(0,005000%) | 0(0,005000%) |    0(0,005000%) | 0(0,005000%) |  1(0,028148%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_PMAP_MEMORIES[1].DECODER_OUT_MEM |  xpm_memory_spram__parameterized1 |    0(0,005000%) |    0(0,005000%) | 0(0,005000%) | 0(0,005000%) |    0(0,005000%) | 0(0,005000%) |  1(0,028148%) | 0(0,005000%) | 0(0,005000%) |
|       xpm_memory_base_inst               |   xpm_memory_base__parameterized0 |    0(0,005000%) |    0(0,005000%) | 0(0,005000%) | 0(0,005000%) |    0(0,005000%) | 0(0,005000%) |  1(0,028148%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_PMAP_MEMORIES[2].DECODER_OUT_MEM |  xpm_memory_spram__parameterized3 |    0(0,005000%) |    0(0,005000%) | 0(0,005000%) | 0(0,005000%) |    0(0,005000%) | 0(0,005000%) |  1(0,028148%) | 0(0,005000%) | 0(0,005000%) |
|       xpm_memory_base_inst               |   xpm_memory_base__parameterized1 |    0(0,005000%) |    0(0,005000%) | 0(0,005000%) | 0(0,005000%) |    0(0,005000%) | 0(0,005000%) |  1(0,028148%) | 0(0,005000%) | 0(0,005000%) |
